<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[61, 0.4365904365904366, 0.38589211618257263, 40, 'tournament_selection', 'crossover_weight', 0.9252089226316152, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1119805497704192, -0.0590638506058946, 7474.464436619229],2.556761951216483
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[62, 0.4365904365904366, 0.38589211618257263, 40, 'tournament_selection', 'crossover_weight', 0.9256860931339633, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1098757223436817, -0.003585554058893301, 7615.3305009465785],2.582668262636902
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[63, 0.4365904365904366, 0.38589211618257263, 40, 'tournament_selection', 'crossover_weight', 0.9258260217621177, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1092711018339008, 0.0027190505391808464, 7759.478314551514],2.605409473299189
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[64, 0.4584199584199584, 0.42738589211618255, 40, 'tournament_selection', 'crossover_weight', 0.9277288513890828, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1010981283254453, -0.004335726675435227, 7801.749171006248],2.634081160887966
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[65, 0.4584199584199584, 0.42738589211618255, 40, 'tournament_selection', 'crossover_weight', 0.9287414972758938, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0970769646826442, 0.003013476873692425, 8376.572486865025],2.651383481227661
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[66, 0.4584199584199584, 0.42738589211618255, 40, 'tournament_selection', 'crossover_weight', 0.9264428096844329, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1058511672977205, 0.04484740200461532, 8682.481359734476],2.6721659950673446
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[67, 0.4584199584199584, 0.42738589211618255, 40, 'tournament_selection', 'crossover_weight', 0.9270375385540627, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1033639822271686, -0.0436419592834186, 7988.073828591285],2.698236128318469
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[68, 0.4584199584199584, 0.42738589211618255, 40, 'tournament_selection', 'crossover_weight', 0.9270490563004006, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1033169799216878, 0.004405354333750194, 8167.734695771879],2.7202634158220285
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[69, 0.4584199584199584, 0.42738589211618255, 40, 'tournament_selection', 'crossover_weight', 0.925519209320182, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1095571464221812, -8.133489971270252e-05, 8171.2140767145365],2.7263240896880645
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[70, 0.4584199584199584, 0.42738589211618255, 40, 'tournament_selection', 'crossover_weight', 0.9258295322796649, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1082078841739933, -0.016250812140223902, 7709.064601289141],2.756773921806111
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[71, 0.4584199584199584, 0.42738589211618255, 40, 'tournament_selection', 'crossover_weight', 0.9239071140445428, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1164559585942935, -0.0030857600427938257, 7802.809658665427],2.7692723723777184
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[72, 0.4584199584199584, 0.42738589211618255, 40, 'tournament_selection', 'crossover_weight', 0.9206686429514521, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1315795337020207, 0.001763584880863884, 7222.068845762088],2.793361727886524
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[73, 0.4584199584199584, 0.42738589211618255, 40, 'tournament_selection', 'crossover_weight', 0.9247661621450364, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1091461844526187, 0.00368061004064652, 6243.763344490179],2.8087127400404452
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[74, 0.4584199584199584, 0.42738589211618255, 40, 'tournament_selection', 'crossover_weight', 0.9257405841495225, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1047822606359483, 0.0021027192249037756, 7481.5775640468055],2.826002904842911
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[75, 0.4584199584199584, 0.42738589211618255, 40, 'tournament_selection', 'crossover_weight', 0.9257394832042736, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.104786985877512, 0.04818052628061708, 7775.939434246306],2.8460603726377514
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[76, 0.4584199584199584, 0.42738589211618255, 40, 'tournament_selection', 'crossover_weight', 0.924865904391369, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.1085365502956317, -0.0445807500038747, 7775.606851134509],2.861792207319108
