<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[50, 0.3804573804573805, 0.3941908713692946, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.20419911067293522, 1.01, 0.024358630153549117, 7005.036588318145],2.3112817566162827
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[51, 0.4022869022869023, 0.43568464730290457, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.20624110177966457, 1.01, -0.022784768380848586, 7568.261317916407],2.3259790279221537
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[52, 0.4022869022869023, 0.43568464730290457, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.2083035127974612, 1.01, -0.0016006683439633573, 7365.925234850629],2.327171041593508
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[53, 0.4022869022869023, 0.43568464730290457, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.21038654792543582, 1.01, 8.63474943323117e-05, 7210.327192203806],2.3313267532526565
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[54, 0.4022869022869023, 0.43568464730290457, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.2124904134046902, 1.01, -0.0015496894516962914, 7963.499043252604],2.342614734123964
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[55, 0.4022869022869023, 0.43568464730290457, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.21461531753873708, 1.01, 0.031289799500109974, 8627.666312471956],2.361279422841547
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[56, 0.4022869022869023, 0.43568464730290457, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.21676147071412447, 1.01, -0.03124120610421833, 8432.29381903512],2.3599842517265563
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[57, 0.4022869022869023, 0.43568464730290457, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.2189290854212657, 1.01, -0.0045292632464436385, 8634.486135324245],2.358628308717534
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[58, 0.4022869022869023, 0.43568464730290457, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.22111837627547837, 1.01, -0.00036775632673420947, 8934.02676117661],2.36813609952672
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[59, 0.4022869022869023, 0.43568464730290457, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.22332956003823315, 1.01, 0.03707723375894792, 9236.165238886775],2.3803161757143214
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[60, 0.40644490644490644, 0.46473029045643155, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.22556285563861547, 1.01, 0.04494712892479473, 9266.696044920962],2.4115441773143576
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[61, 0.41164241164241167, 0.47717842323651455, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.22781848419500164, 1.01, -0.011968470478410473, 8053.71592306893],2.414069380009099
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[62, 0.41164241164241167, 0.47717842323651455, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.23009666903695167, 1.01, 0.010802262804032875, 6572.337016249134],2.4264626636171265
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[63, 0.41164241164241167, 0.47717842323651455, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.2323976357273212, 1.01, -0.023705598648288376, 7375.048038137673],2.444061461866753
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[64, 0.41164241164241167, 0.47717842323651455, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.2347216120845944, 1.01, -0.02067931846954245, 7865.013187904326],2.4598860220994374
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[65, 0.41164241164241167, 0.47717842323651455, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.23706882820544037, 1.01, -0.03337026024403377, 8235.942149947865],2.483981795351088
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[66, 0.41995841995842, 0.46887966804979253, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.23943951648749479, 1.01, 0.031459035393142716, 8264.325441986528],2.497734874934872
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[67, 0.41995841995842, 0.46887966804979253, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.24183391165236973, 1.01, 0.04665165254378388, 9164.14993653271],2.517195577521162
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[68, 0.41995841995842, 0.46887966804979253, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.24425225076889343, 1.01, -0.020384342939129607, 8752.610965426285],2.518596108358089
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[69, 0.41995841995842, 0.46887966804979253, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.24669477327658237, 1.01, 0.03466041760009081, 8341.88552243751],2.5320198113980146
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[70, 0.41995841995842, 0.46887966804979253, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.2491617210093482, 1.01, -0.059125637842512416, 7322.7662169280675],2.539885045694115
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[71, 0.41995841995842, 0.46887966804979253, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.2516533382194417, 1.01, -0.026765100601419234, 7736.971111991184],2.555974140506193
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[72, 0.41995841995842, 0.46887966804979253, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.2541698716016361, 1.01, 0.030959548606969672, 7704.884550356011],2.5683333924843215
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[73, 0.4261954261954262, 0.49377593360995853, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.25671157031765246, 1.01, 0.03343933179561005, 8061.464413456839],2.5799976753397873
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[74, 0.4303534303534304, 0.47717842323651455, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.259278686020829, 1.01, -0.035685246026000664, 7587.730803504901],2.576741020056035
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[75, 0.43243243243243246, 0.4605809128630705, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.2618714728810373, 1.01, -0.0011840428197907038, 7688.528508575935],2.5944478080246784
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[76, 0.43243243243243246, 0.4605809128630705, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.26449018760984766, 1.01, 0.004637878278243829, 7703.420556546691],2.6007488603140385
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[77, 0.44282744282744285, 0.47717842323651455, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.26713508948594616, 1.01, -0.0011387054115356982, 7564.786387403994],2.6119416094570234
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[78, 0.446985446985447, 0.4896265560165975, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.26980644038080565, 1.01, 0.0018690918588726013, 6649.114931150421],2.6215595298375467
