<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[46, 0.38357588357588357, 0.38589211618257263, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.007151483824748832, 8161.176317783011],1.8107296654419889
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[47, 0.38461538461538464, 0.3817427385892116, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.0026400477237077807, 8648.845344468551],1.815472223883965
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[48, 0.38461538461538464, 0.3817427385892116, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.014030415390459947, 7934.4200030020165],1.8058741089570087
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[49, 0.38461538461538464, 0.3817427385892116, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.00982569304004035, 7571.954869228525],1.82771728661694
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[50, 0.38461538461538464, 0.3817427385892116, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.005131933324130311, 7765.319067472974],1.8516328624751932
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[51, 0.38461538461538464, 0.3817427385892116, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.0025791529726293533, 7649.883433316462],1.8511142448799625
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[52, 0.38461538461538464, 0.3817427385892116, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.009374758728329997, 7107.472797344442],1.8641676222576646
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[53, 0.38461538461538464, 0.3817427385892116, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.005457465485952141, 7180.656727711808],1.8708072567596852
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[54, 0.41164241164241167, 0.42323651452282157, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.00247413019147099, 6619.064363430708],1.8598218133080904
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[55, 0.41164241164241167, 0.42323651452282157, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.0016117664135536225, 6620.860273366541],1.8701484573153457
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[56, 0.41164241164241167, 0.42323651452282157, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.011568583279460129, 7217.850036066792],1.8764260575791833
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[57, 0.41164241164241167, 0.42323651452282157, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.021832424019394524, 7092.441945373558],1.8833243694989465
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[58, 0.41164241164241167, 0.42323651452282157, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.012913201166428002, 6080.390067435121],1.8760067074571531
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[59, 0.41164241164241167, 0.4149377593360996, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.0038609943702240662, 6087.516246062786],1.8744301977580728
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[60, 0.41164241164241167, 0.4149377593360996, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.01068532928480314, 6329.045526987752],1.877642128280749
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[61, 0.41164241164241167, 0.4149377593360996, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.003111999370529153, 6892.13057226711],1.8982546823944737
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[62, 0.41476091476091476, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.006272258295084168, 7251.1714864661335],1.9043915560729798
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[63, 0.41476091476091476, 0.4190871369294606, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.017585566844868172, 7156.789963750921],1.9094332226529667
