<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[62, 0.42203742203742206, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.923804277208606, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1170565738119556, -0.05299831375328167, 7622.217263843868],2.5607009083121213
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[63, 0.42203742203742206, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9232462007693956, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1196754433102665, 0.03341793060150792, 7175.062892635132],2.57330487245994
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[64, 0.42203742203742206, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9246521615274376, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1129034991519333, -0.032155411870229744, 7006.848016159694],2.581704801218933
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[65, 0.42203742203742206, 0.36929460580912865, 40, 'tournament_selection', 'crossover_weight', 0.9248163954936064, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1121620771252059, 0.030935251087225307, 7430.631388161475],2.5958802844648154
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[66, 0.4261954261954262, 0.3775933609958506, 40, 'tournament_selection', 'crossover_weight', 0.9243057379759135, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1144506203011206, 0.0036687194730381095, 7480.134636087943],2.607643796575802
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[67, 0.4261954261954262, 0.3775933609958506, 40, 'tournament_selection', 'crossover_weight', 0.9247176760387983, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1125618291434007, -0.04293486033210575, 7326.212726427153],2.633051436850461
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[68, 0.4261954261954262, 0.3775933609958506, 40, 'tournament_selection', 'crossover_weight', 0.9232598476708704, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1191236280481727, 0.040485497304032836, 7450.37871068146],2.6501905863098765
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[69, 0.4261954261954262, 0.3775933609958506, 40, 'tournament_selection', 'crossover_weight', 0.9244760899789543, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1132718033773128, -0.04034223214589479, 7010.961452392758],2.669968255472609
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[70, 0.4313929313929314, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9260440653801764, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1061400155628753, 0.06181195335727188, 7377.560067284958],2.682135479134634
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[71, 0.4313929313929314, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9258031594945002, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1071631877759731, 0.031038459146133415, 7850.1777409610995],2.681793754630155
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[72, 0.4313929313929314, 0.3651452282157676, 40, 'tournament_selection', 'crossover_weight', 0.9262797943563107, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1051180406569943, -0.07836731919219311, 7777.564115023851],2.6786747528510557
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[73, 0.43347193347193347, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9225338812803463, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1208703561540414, -0.020082187750582566, 7921.230947683511],2.693987601471513
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[74, 0.43347193347193347, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.923691544074161, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1151119610872264, 0.047738786676436676, 6792.141344380111],2.7009041032086536
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[75, 0.43347193347193347, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9254689791745894, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1067459418259258, -0.038947980098950424, 7141.082977066245],2.7204120559091804
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[76, 0.43555093555093555, 0.3775933609958506, 40, 'tournament_selection', 'crossover_weight', 0.9272170230261572, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.099149875938893, 0.061843086725827764, 7676.835796670425],2.737503329234739
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[77, 0.43555093555093555, 0.3900414937759336, 40, 'tournament_selection', 'crossover_weight', 0.9246025766787335, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1097082253059705, -0.019919584153489628, 8203.729533630816],2.7450619572493067
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[78, 0.4365904365904366, 0.3817427385892116, 40, 'tournament_selection', 'crossover_weight', 0.9266653658271826, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1004039393565863, 0.0010445031016948353, 7415.685569607278],2.7597316295552927
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[79, 0.4386694386694387, 0.38589211618257263, 40, 'tournament_selection', 'crossover_weight', 0.9265143995994417, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1010269341161274, 0.020173043304693786, 8037.449538521934],2.778983219215199
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[80, 0.4386694386694387, 0.4066390041493776, 40, 'tournament_selection', 'crossover_weight', 0.9268040153302101, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0998242867813324, -0.0659016363981613, 7991.945439858823],2.7948428580852114
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[81, 0.4407484407484408, 0.4024896265560166, 40, 'tournament_selection', 'crossover_weight', 0.9254660341431848, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1053143008207147, 0.04319372842712124, 8079.241141582861],2.818910731631327
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[82, 0.45114345114345117, 0.4107883817427386, 40, 'tournament_selection', 'crossover_weight', 0.9222001702707919, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1194892839468396, -0.045164665209294276, 7675.94810806882],2.8211456880788637
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[83, 0.45114345114345117, 0.4107883817427386, 40, 'tournament_selection', 'crossover_weight', 0.9216903661025114, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1220600764062667, 0.0002872728438516048, 6691.554485113846],2.8264532669177886
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[84, 0.45114345114345117, 0.4107883817427386, 40, 'tournament_selection', 'crossover_weight', 0.9237642016155795, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.111331958571604, 0.0030250765018413235, 6537.889791231942],2.8306776187560834
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[85, 0.45426195426195426, 0.4107883817427386, 40, 'tournament_selection', 'crossover_weight', 0.9236725864133415, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1117603967063454, 0.04358762904035962, 7162.983345001511],2.846025692501669
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[86, 0.45426195426195426, 0.4107883817427386, 40, 'tournament_selection', 'crossover_weight', 0.9233036143618271, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.1134932386831482, -0.04872333524083656, 7135.368776736404],2.852349560086854
