<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[55, 0.4397089397089397, 0.45643153526970953, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.21461531753873708, 1.01, 0.0023246199587591276, 7322.220613392214],2.464217338346542
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[56, 0.4397089397089397, 0.45643153526970953, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.21676147071412447, 1.01, -0.012646710946282367, 7370.418078277354],2.483963396800272
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[57, 0.4407484407484408, 0.43568464730290457, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.2189290854212657, 1.01, 0.0052642529010594775, 7995.586405089008],2.4981344339698435
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[58, 0.45114345114345117, 0.42738589211618255, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.22111837627547837, 1.01, 0.008476510623693756, 7794.191695723956],2.5180001699598087
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[59, 0.45114345114345117, 0.42323651452282157, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.22332956003823315, 1.01, -0.0013046381603648433, 7423.862323489475],2.529364475689158
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[60, 0.4573804573804574, 0.4149377593360996, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.22556285563861547, 1.01, -0.0020258278653852713, 7267.732805643534],2.5494943400137307
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[61, 0.4573804573804574, 0.4149377593360996, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.22781848419500164, 1.01, 0.0036847519214783866, 6236.6657613007665],2.5565023069557915
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[62, 0.4573804573804574, 0.4149377593360996, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.23009666903695167, 1.01, -0.010088710240104812, 6572.455469466787],2.5620938219007194
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[63, 0.4573804573804574, 0.4149377593360996, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.2323976357273212, 1.01, -7.369064304578107e-05, 6769.661383264371],2.573174199258431
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[64, 0.4573804573804574, 0.4149377593360996, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.2347216120845944, 1.01, 0.009600733281478351, 7097.989498716587],2.560452137130023
