<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[75, 0.4386694386694387, 0.43983402489626555, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.0030328968317218305, 6201.557354216221],2.7657010478302837
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[76, 0.4386694386694387, 0.43983402489626555, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.01178451093678582, 6390.827200095295],2.7903757668874025
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[77, 0.448024948024948, 0.4730290456431535, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.009299235828281807, 6785.460263201221],2.8047795628167282
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[78, 0.45322245322245325, 0.44813278008298757, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.0052191029759723895, 7059.477060047974],2.8075561229539563
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[79, 0.45322245322245325, 0.44813278008298757, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.0015878398759994333, 7636.686507533606],2.830063506734732
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[80, 0.4802494802494803, 0.45643153526970953, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.00791314313075659, 7735.491678303064],2.837978300608318
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[81, 0.4802494802494803, 0.45643153526970953, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.004898581839248087, 7217.88771938056],2.850904299638794
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[82, 0.4802494802494803, 0.45643153526970953, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.012683528131785679, 7327.0963289391475],2.864719714462187
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[83, 0.4802494802494803, 0.45643153526970953, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, -0.00312162937356647, 6764.485078120389],2.867220006357897
<class 'problems.ANNOP.ANNOP'>,1919328126656,algorithms.GA_with_plotting,[84, 0.4802494802494803, 0.45643153526970953, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001BEE0DF06C0>, None, 0.95, 0.009772106549269986, 6557.574283721748],2.8741839294466907
