<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[66, 0.4521829521829522, 0.48132780082987553, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.0029606110596467825, 8306.895935533901],2.5329451024371417
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[67, 0.4521829521829522, 0.48132780082987553, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.03696499548023122, 8444.913671326301],2.5560975228385696
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[68, 0.4521829521829522, 0.48132780082987553, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.013710195744112821, 7962.087713969363],2.578592169514638
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[69, 0.4573804573804574, 0.49377593360995853, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.012979717814584915, 8558.154762869577],2.5737211449124477
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[70, 0.4573804573804574, 0.49377593360995853, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.04900087012115499, 7952.688358425158],2.5559607072771073
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[71, 0.46153846153846156, 0.5062240663900415, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.012063593072736984, 7340.940587648847],2.5563935418484274
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[72, 0.46153846153846156, 0.5062240663900415, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.009512058128732789, 6012.236699707606],2.5766187463721963
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[73, 0.4656964656964657, 0.4896265560165975, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.000752940041546829, 6216.778703893325],2.5906589377453524
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[74, 0.4656964656964657, 0.4896265560165975, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.004806347034763202, 6940.576226913326],2.606339635871106
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[75, 0.4656964656964657, 0.4896265560165975, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.011591293101613588, 7252.869142507232],2.6229016795833364
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[76, 0.4656964656964657, 0.4896265560165975, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, 0.0013594331617503563, 7318.377809369184],2.6347209699876757
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[77, 0.4656964656964657, 0.4896265560165975, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.006550256016501908, 7301.996743902235],2.629112422809609
<class 'problems.ANNOP.ANNOP'>,2479036511360,algorithms.GA_with_plotting,[78, 0.4656964656964657, 0.4896265560165975, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000024132173480>, None, 0.95, -0.008643662349692438, 6539.42439442752],2.6173069974781273
